country,state,district,state_lgd_code,district_lgd_code
India,Andaman And Nicobar Islands,Nicobars,35,603
India,Andaman And Nicobar Islands,North And Middle Andaman,35,632
India,Andaman And Nicobar Islands,South Andamans,35,602
India,Andhra Pradesh,Alluri Sitharama Raju,28,745
India,Andhra Pradesh,Anakapalli,28,744
India,Andhra Pradesh,Anantapur,28,502
India,Andhra Pradesh,Annamayya,28,753
India,Andhra Pradesh,Bapatla,28,750
India,Andhra Pradesh,Chittoor,28,503
India,Andhra Pradesh,East Godavari,28,505
India,Andhra Pradesh,Eluru,28,748
India,Andhra Pradesh,Guntur,28,506
India,Andhra Pradesh,Kakinada,28,746
India,Andhra Pradesh,Konaseema,28,747
India,Andhra Pradesh,Krishna,28,510
India,Andhra Pradesh,Kurnool,28,511
India,Andhra Pradesh,Nandyal,28,755
India,Andhra Pradesh,Ntr,28,749
India,Andhra Pradesh,Palnadu,28,751
India,Andhra Pradesh,Parvathipuram Manyam,28,743
India,Andhra Pradesh,Prakasam,28,517
India,Andhra Pradesh,Spsr Nellore,28,515
India,Andhra Pradesh,Sri Sathya Sai,28,754
India,Andhra Pradesh,Srikakulam,28,519
India,Andhra Pradesh,Tirupati,28,752
India,Andhra Pradesh,Visakhapatanam,28,520
India,Andhra Pradesh,Vizianagaram,28,521
India,Andhra Pradesh,West Godavari,28,523
India,Andhra Pradesh,Y.S.R.,28,504
India,Arunachal Pradesh,Anjaw,12,628
India,Arunachal Pradesh,Changlang,12,229
India,Arunachal Pradesh,Dibang Valley,12,230
India,Arunachal Pradesh,East Kameng,12,231
India,Arunachal Pradesh,East Siang,12,232
India,Arunachal Pradesh,Kamle,12,718
India,Arunachal Pradesh,Kra Daadi,12,677
India,Arunachal Pradesh,Kurung Kumey,12,233
India,Arunachal Pradesh,Leparada,12,724
India,Arunachal Pradesh,Lohit,12,234
India,Arunachal Pradesh,Longding,12,666
India,Arunachal Pradesh,Lower Dibang Valley,12,235
India,Arunachal Pradesh,Lower Siang,12,719
India,Arunachal Pradesh,Lower Subansiri,12,236
India,Arunachal Pradesh,Namsai,12,678
India,Arunachal Pradesh,Pakke Kessang,12,723
India,Arunachal Pradesh,Papum Pare,12,237
India,Arunachal Pradesh,Shi Yomi,12,725
India,Arunachal Pradesh,Siang,12,679
India,Arunachal Pradesh,Tawang,12,238
India,Arunachal Pradesh,Tirap,12,239
India,Arunachal Pradesh,Upper Siang,12,240
India,Arunachal Pradesh,Upper Subansiri,12,241
India,Arunachal Pradesh,West Kameng,12,242
India,Arunachal Pradesh,West Siang,12,243
India,Assam,Bajali,18,739
India,Assam,Baksa,18,616
India,Assam,Barpeta,18,280
India,Assam,Biswanath,18,705
India,Assam,Bongaigaon,18,281
India,Assam,Cachar,18,282
India,Assam,Charaideo,18,708
India,Assam,Chirang,18,612
India,Assam,Darrang,18,283
India,Assam,Dhemaji,18,284
India,Assam,Dhubri,18,285
India,Assam,Dibrugarh,18,286
India,Assam,Dima Hasao,18,299
India,Assam,Goalpara,18,287
India,Assam,Golaghat,18,288
India,Assam,Hailakandi,18,289
India,Assam,Hojai,18,709
India,Assam,Jorhat,18,290
India,Assam,Kamrup,18,291
India,Assam,Kamrup Metro,18,618
India,Assam,Karbi Anglong,18,292
India,Assam,Karimganj,18,293
India,Assam,Kokrajhar,18,294
India,Assam,Lakhimpur,18,295
India,Assam,Majuli,18,706
India,Assam,Marigaon,18,296
India,Assam,Nagaon,18,297
India,Assam,Nalbari,18,298
India,Assam,Sivasagar,18,300
India,Assam,Sonitpur,18,301
India,Assam,South Salmara Mancachar,18,707
India,Assam,Tamulpur,18,756
India,Assam,Tinsukia,18,302
India,Assam,Udalguri,18,617
India,Assam,West Karbi Anglong,18,710
India,Bihar,Araria,10,188
India,Bihar,Arwal,10,611
India,Bihar,Aurangabad,10,189
India,Bihar,Banka,10,190
India,Bihar,Begusarai,10,191
India,Bihar,Bhagalpur,10,192
India,Bihar,Bhojpur,10,193
India,Bihar,Buxar,10,194
India,Bihar,Darbhanga,10,195
India,Bihar,Gaya,10,196
India,Bihar,Gopalganj,10,197
India,Bihar,Jamui,10,198
India,Bihar,Jehanabad,10,199
India,Bihar,Kaimur (Bhabua),10,200
India,Bihar,Katihar,10,201
India,Bihar,Khagaria,10,202
